x,y,z
-0.476378,0.46063,0.00338651
-0.476378,0.468504,0.00282518
-0.476378,0.476378,0.00226216
-0.476378,0.484252,0.0016978
-0.476378,0.492126,0.00113243
-0.476378,0.5,0.000566383

-0.468504,-0.5,0.000707347
-0.468504,-0.492126,0.00141427
-0.468504,-0.484252,0.00212036
-0.468504,-0.476378,0.00282518
-0.468504,-0.468504,0.00352832
-0.468504,-0.46063,0.00422936
-0.468504,-0.452756,0.00492788
-0.468504,-0.444882,0.00562347
-0.468504,-0.437008,0.00631571
-0.468504,-0.429134,0.00700419
-0.468504,-0.42126,0.00768851
-0.468504,-0.413386,0.00836825
-0.468504,-0.405512,0.00904301
-0.468504,-0.397638,0.00971239
-0.468504,-0.389764,0.010376
-0.468504,-0.38189,0.0110334
-0.468504,-0.374016,0.0116843
-0.468504,-0.366142,0.0123282
-0.468504,-0.358268,0.0129648
-0.468504,-0.350394,0.0135936
-0.468504,-0.34252,0.0142144
-0.468504,-0.334646,0.0148268
-0.468504,-0.326772,0.0154303
-0.468504,-0.318898,0.0160246
-0.468504,-0.311024,0.0166095
-0.468504,-0.30315,0.0171844
-0.468504,-0.295276,0.0177492
-0.468504,-0.287402,0.0183034
-0.468504,-0.279528,0.0188467
-0.468504,-0.271654,0.0193788
-0.468504,-0.26378,0.0198994
-0.468504,-0.255906,0.0204082
-0.468504,-0.248031,0.0209049
-0.468504,-0.240157,0.0213892
-0.468504,-0.232283,0.0218607
-0.468504,-0.224409,0.0223193
-0.468504,-0.216535,0.0227647
-0.468504,-0.208661,0.0231965
-0.468504,-0.200787,0.0236146
-0.468504,-0.192913,0.0240186
-0.468504,-0.185039,0.0244084
-0.468504,-0.177165,0.0247838
-0.468504,-0.169291,0.0251444
-0.468504,-0.161417,0.0254901
-0.468504,-0.153543,0.0258207
-0.468504,-0.145669,0.026136
-0.468504,-0.137795,0.0264358
-0.468504,-0.129921,0.0267199
-0.468504,-0.122047,0.0269882
-0.468504,-0.114173,0.0272405
-0.468504,-0.106299,0.0274766
-0.468504,-0.0984252,0.0276965
-0.468504,-0.0905512,0.0279
-0.468504,-0.0826772,0.0280869
-0.468504,-0.0748031,0.0282571
-0.468504,-0.0669291,0.0284107
-0.468504,-0.0590551,0.0285474
-0.468504,-0.0511811,0.0286672
-0.468504,-0.0433071,0.02877
-0.468504,-0.0354331,0.0288557
-0.468504,-0.0275591,0.0289244
-0.468504,-0.019685,0.028976
-0.468504,-0.011811,0.0290103
-0.468504,-0.00393701,0.0290275
-0.468504,0.00393701,0.0290275
-0.468504,0.011811,0.0290103
-0.468504,0.019685,0.028976
-0.468504,0.0275591,0.0289244
-0.468504,0.0354331,0.0288557
-0.468504,0.0433071,0.02877
-0.468504,0.0511811,0.0286672
-0.468504,0.0590551,0.0285474
-0.468504,0.0669291,0.0284107
-0.468504,0.0748031,0.0282571
-0.468504,0.0826772,0.0280869
-0.468504,0.0905512,0.0279
-0.468504,0.0984252,0.0276965
-0.468504,0.106299,0.0274766
-0.468504,0.114173,0.0272405
-0.468504,0.122047,0.0269882
-0.468504,0.129921,0.0267199
-0.468504,0.137795,0.0264358
-0.468504,0.145669,0.026136
-0.468504,0.153543,0.0258207
-0.468504,0.161417,0.0254901
-0.468504,0.169291,0.0251444
-0.468504,0.177165,0.0247838
-0.468504,0.185039,0.0244084
-0.468504,0.192913,0.0240186
-0.468504,0.200787,0.0236146
-0.468504,0.208661,0.0231965
-0.468504,0.216535,0.0227647
-0.468504,0.224409,0.0223193
-0.468504,0.232283,0.0218607
-0.468504,0.240157,0.0213892
-0.468504,0.248031,0.0209049
-0.468504,0.255906,0.0204082
-0.468504,0.26378,0.0198994
-0.468504,0.271654,0.0193788
-0.468504,0.279528,0.0188467
-0.468504,0.287402,0.0183034
-0.468504,0.295276,0.0177492
-0.468504,0.30315,0.0171844
-0.468504,0.311024,0.0166095
-0.468504,0.318898,0.0160246
-0.468504,0.326772,0.0154303
-0.468504,0.334646,0.0148268
-0.468504,0.34252,0.0142144
-0.468504,0.350394,0.0135936
-0.468504,0.358268,0.0129648
-0.468504,0.366142,0.0123282
-0.468504,0.374016,0.0116843
-0.468504,0.38189,0.0110334
-0.468504,0.389764,0.010376
-0.468504,0.397638,0.00971239
-0.468504,0.405512,0.00904301
-0.468504,0.413386,0.00836825
-0.468504,0.42126,0.00768851
-0.468504,0.429134,0.00700419
-0.468504,0.437008,0.00631571
-0.468504,0.444882,0.00562347
-0.468504,0.452756,0.00492788
-0.468504,0.46063,0.00422936
-0.468504,0.468504,0.00352832
-0.468504,0.476378,0.00282518
-0.468504,0.484252,0.00212036
-0.468504,0.492126,0.00141427
-0.468504,0.5,0.000707347

-0.46063,-0.5,0.000847889
-0.46063,-0.492126,0.00169527
-0.46063,-0.484252,0.00254165
-0.46063,-0.476378,0.00338651
-0.46063,-0.468504,0.00422936
-0.46063,-0.46063,0.00506969
-0.46063,-0.452756,0.005907
-0.46063,-0.444882,0.00674079
-0.46063,-0.437008,0.00757057
-0.46063,-0.429134,0.00839585
-0.46063,-0.42126,0.00921613
-0.46063,-0.413386,0.0100309
-0.46063,-0.405512,0.0108398
-0.46063,-0.397638,0.0116421
-0.46063,-0.389764,0.0124376
-0.46063,-0.38189,0.0132256
-0.46063,-0.374016,0.0140058
-0.46063,-0.366142,0.0147777
-0.46063,-0.358268,0.0155407
-0.46063,-0.350394,0.0162946
-0.46063,-0.34252,0.0170387
-0.46063,-0.334646,0.0177727
-0.46063,-0.326772,0.0184961
